"H0022200","R0000100","R0007900","R0173600","R0214700","R0214800","R1774200","T4892700","T5176100","T5595900","T5596000","T5596200","T5596700","T5599700","T5599800","T5599900","T5600000","T5619500","T5621700","T5731800","T5732000","T5772700","T5772900","T5774300"
3,107,9,1,3,1,2,200,-4,5,9,2,2,1,3,2,4,96000,-4,0,0,480,0,6
2,108,8,1,3,1,1,168,-4,5,8,4,3,1,4,4,0,80000,60000,0,0,2600,0,14
-4,109,-3,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3,110,12,1,3,1,2,185,-4,6,0,2,2,1,1,1,0,106000,-4,0,0,2120,0,11
5,111,10,5,3,2,2,180,-4,5,2,2,2,4,2,3,1,50000,-4,0,0,2600,0,7
4,112,8,5,3,2,6,180,-4,5,8,2,2,4,1,1,0,18000,-4,0,0,1248,0,29
-4,113,-2,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,114,7,1,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,115,12,5,3,2,4,-1,-4,5,6,2,2,4,4,4,0,23000,-4,0,0,2080,0,14
-4,116,12,5,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,117,12,1,3,1,4,260,16,5,10,2,2,1,1,1,0,44000,-4,0,0,2080,0,4
-4,118,8,5,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,119,8,1,3,1,7,180,-4,5,10,1,1,4,3,3,1,0,20000,0,0,2736,0,18
4,120,12,1,3,1,9,260,-4,6,0,2,2,4,5,5,10,100000,-4,1,0,4815,0,17
2,121,15,5,3,2,6,190,-4,5,4,2,1,1,1,1,1,60000,-4,0,0,2080,0,8
1,122,10,1,3,1,4,270,-4,6,1,1,1,1,3,3,0,75000,-4,0,0,2380,0,17
-4,123,16,1,3,1,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,124,14,5,3,2,4,130,-4,5,2,1,1,4,2,1,0,0,-4,1,0,0,0,24
-4,125,14,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1,126,15,1,3,1,7,165,-4,6,0,2,2,3,2,2,0,72000,-4,0,0,2747,0,6
-4,127,12,1,3,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,128,12,5,3,2,6,117,-4,5,0,-4,-4,4,4,4,0,150000,-4,0,0,2040,0,9
2,129,14,1,3,1,2,190,-4,5,10,2,1,1,2,2,0,135000,-4,0,0,2895,0,10
-4,130,-2,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,131,15,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,132,14,6,3,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,133,11,5,3,2,7,220,-4,5,2,-4,2,4,2,2,0,20000,-4,1,0,1239,0,12
-4,134,12,1,3,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,135,12,1,3,1,7,215,-4,5,7,2,1,1,4,4,1,100000,-4,0,0,2080,0,13
5,136,12,5,3,2,1,-2,-4,5,1,1,1,1,2,2,2,0,-4,0,0,0,0,4
